time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
0.60658,0.3393,0.4974,1.0539,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.616154,0.3393,0.4974,1.0539,1.623,0.336,-0.8256,-49.8,28.5938,-46.8375,
0.625689,0.1605,0.3576,0.7319,1.623,0.336,-0.8256,-49.8,28.5938,-46.8375,
0.641912,0.1605,0.3576,0.7319,3.5392,0.9254,-1.7705,-49.8,28.5938,-46.8375,
0.659816,0.0931,0.2678,0.4744,3.5392,0.9254,-1.7705,-49.8,28.5938,-46.8375,
0.662417,-0.0306,0.2199,0.1212,3.5392,0.9254,-1.7705,-49.8,28.5938,-46.8375,
0.664031,-0.0306,0.2199,0.1212,3.5392,0.9254,-1.7705,-49.8,28.5938,-46.8375,
0.677197,-0.0306,0.2199,0.1212,3.5392,0.9254,-1.7705,-51.0938,24.1313,-47.1188,
0.697679,-0.1647,0.1827,-0.087,3.5392,0.9254,-1.7705,-51.0938,24.1313,-47.1188,
0.69899,-0.1647,0.1827,-0.087,3.4012,0.1741,-1.9993,-51.0938,24.1313,-47.1188,
0.717098,-0.1647,0.1827,-0.087,3.4012,0.1741,-1.9993,-51.0938,24.1313,-47.1188,
0.718207,-0.235,0.1637,-0.1883,3.4012,0.1741,-1.9993,-51.0938,24.1313,-47.1188,
0.719185,-0.3447,0.1673,-0.3396,3.4012,0.1741,-1.9993,-51.0938,24.1313,-47.1188,
0.75827,-0.3447,0.1673,-0.3396,3.4012,0.1741,-1.9993,-52.5938,18.3188,-46.425,
0.760384,-0.3916,0.1883,-0.4373,3.4012,0.1741,-1.9993,-52.5938,18.3188,-46.425,
0.775839,-0.3799,0.2052,-0.4637,3.4012,0.1741,-1.9993,-52.5938,18.3188,-46.425,
0.776821,-0.3836,0.2082,-0.5006,3.4012,0.1741,-1.9993,-52.5938,18.3188,-46.425,
0.777442,-0.3836,0.2082,-0.5006,1.4008,0.2292,-1.2104,-52.5938,18.3188,-46.425,
0.778071,-0.3836,0.2082,-0.5006,1.4008,0.2292,-1.2104,-52.5938,18.3188,-46.425,
0.793129,-0.3948,0.1891,-0.5702,1.4008,0.2292,-1.2104,-52.5938,18.3188,-46.425,
0.814601,-0.3948,0.1891,-0.5702,1.4008,0.2292,-1.2104,-54.1875,12.2438,-45.4313,
0.815812,-0.3936,0.1764,-0.5785,1.4008,0.2292,-1.2104,-54.1875,12.2438,-45.4313,
0.83148,-0.3936,0.1764,-0.5785,-0.695,-0.1182,-0.0877,-54.1875,12.2438,-45.4313,
0.833098,-0.3371,0.1832,-0.548,-0.695,-0.1182,-0.0877,-54.1875,12.2438,-45.4313,
0.834454,-0.3371,0.1832,-0.548,-0.695,-0.1182,-0.0877,-54.1875,12.2438,-45.4313,
0.862739,-0.2851,0.1769,-0.4769,-0.695,-0.1182,-0.0877,-54.1875,12.2438,-45.4313,
0.8756,-0.2851,0.1769,-0.4769,-0.695,-0.1182,-0.0877,-56.3813,6.45,-44.85,
0.876519,-0.248,0.1686,-0.4258,-0.695,-0.1182,-0.0877,-56.3813,6.45,-44.85,
0.887167,-0.1932,0.182,-0.3506,-0.695,-0.1182,-0.0877,-56.3813,6.45,-44.85,
0.889372,-0.1932,0.182,-0.3506,-0.695,-0.1182,-0.0877,-56.3813,6.45,-44.85,
0.907878,-0.1932,0.182,-0.3506,-2.8386,-0.7571,0.7984,-56.3813,6.45,-44.85,
0.92555,-0.1199,0.2006,-0.1905,-2.8386,-0.7571,0.7984,-56.3813,6.45,-44.85,
0.927588,-0.0027,0.226,0.1561,-2.8386,-0.7571,0.7984,-56.3813,6.45,-44.85,
0.945156,-0.0027,0.226,0.1561,-2.8386,-0.7571,0.7984,-56.3813,6.45,-44.85,
0.94646,0.2853,0.3576,0.7004,-2.8386,-0.7571,0.7984,-56.3813,6.45,-44.85,
0.954582,0.2853,0.3576,0.7004,-2.8386,-0.7571,0.7984,-59.0625,2.2688,-44.8125,
0.962731,0.2853,0.3576,0.7004,-4.8785,-1.4561,1.0864,-59.0625,2.2688,-44.8125,
0.988761,0.3432,0.4544,1.6397,-4.8785,-1.4561,1.0864,-59.0625,2.2688,-44.8125,
0.990996,0.5712,0.6723,2.4036,-4.8785,-1.4561,1.0864,-59.0625,2.2688,-44.8125,
1.001175,1.0607,0.9132,3.0019,-4.8785,-1.4561,1.0864,-59.0625,2.2688,-44.8125,
1.003301,1.0607,0.9132,3.0019,-4.8785,-1.4561,1.0864,-59.0625,2.2688,-44.8125,
1.01433,1.0607,0.9132,3.0019,-4.8785,-1.4561,1.0864,-62.7,0.4688,-44.2313,
1.031003,1.3204,1.0192,3.5272,-4.8785,-1.4561,1.0864,-62.7,0.4688,-44.2313,
1.042582,1.3204,1.0192,3.5272,-3.3994,-3.1537,0.235,-62.7,0.4688,-44.2313,
1.044322,1.1866,1.0456,3.7673,-3.3994,-3.1537,0.235,-62.7,0.4688,-44.2313,
1.076752,1.1866,1.0456,3.7673,-3.3994,-3.1537,0.235,-66.9,-0.6375,-42.8063,
1.078797,0.7258,0.7192,2.836,-3.3994,-3.1537,0.235,-66.9,-0.6375,-42.8063,
1.080136,0.7258,0.7192,2.836,-3.3994,-3.1537,0.235,-66.9,-0.6375,-42.8063,
1.115044,0.6271,0.4788,2.3166,-3.3994,-3.1537,0.235,-66.9,-0.6375,-42.8063,
